"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Медиахолдинг","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«РИА Новости» — информационное агентство","ria.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РИА","да","25391195","45495250","00:10:42","0.0","2916493"
"«Комсомольская правда» — газета // WWW.KP.RU","kp.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","21228548","33578200","00:05:08","0.0013196201324705377","1549757"
"«Lenta.ru» — интернет-газета","lenta.ru","Новости и СМИ","Новости","Rambler&Co","да","21037374","34898300","00:15:21","0.0","2326214"
"Рамблер.Новости","news.rambler.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","17647911","29040500","00:22:55","0.0","1799439"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","РБК","да","17069418","29928300","00:16:15","0.01076839573016692","1766199"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Rambler&Co","да","16359921","26999100","00:07:20","0.0","1383829"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","15125867","25018700","00:05:35","0.0","1370747"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","Московский Комсомолец","да","14789469","22578500","00:06:09","0.0","1230860"
"«Вести.ru» — интернет-канал","vesti.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","ВГТРК","да","14266474","21417650","00:04:06","0.0","1011818"
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","МИЦ «Известия»","да","10646205","16112200","00:03:06","0.0","737754"
"«РЕН ТВ» — телеканал","ren.tv","Новости и СМИ->Телевидение, Новости и СМИ","Новости","МИЦ «Известия»","да","10502293","15781050","00:02:50","0.0","633636"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","10389345","14926750","00:02:25","0.0","542931"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","10331110","15033300","00:06:41","0.0","775474"
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","да","8691253","13373300","00:06:38","0.0","584848"
"«Новости Mail.ru» — информационно-новостной портал","news.mail.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","7740000","11600000","","",""
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","HSM","да","7506955","11583150","00:05:50","0.0","591340"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","да","7188084","10047850","00:05:25","0.028435088127677838","385906"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","да","6920796","9714400","00:02:15","0.0","375747"
"«Узнай все» — ежедневное электронное издание","uznayvse.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","6750712","9177650","00:02:39","0.0","322138"
"«Российская газета» — издание Правительства РФ","rg.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","6690000","9600000","","",""
"«24СМИ» — новостной портал","24smi.org","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","6600000","9200000","","",""
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","","да","6061142","9685550","00:21:16","0.0","554257"
"«Пятый канал» — официальный сайт телерадиокомпании","5-tv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","МИЦ «Известия»","да","5923695","8054600","00:01:22","0.0","264466"
"«Первый канал» — официальный сайт","1tv.ru","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","","5790000","8340000","","",""
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","5353215","7895900","00:02:05","0.0","317704"
"«Телепрограмма» — онлайн-версия женского журнала","teleprogramma.pro","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","Комсомольская правда Digital","да","5229099","7032300","00:03:17","0.0","323353"
"SYL.ru","syl.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","5088275","6920750","00:02:11","0.0","203202"
"«ТАСС» — государственное информационное агентство","tass.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4950000","7290000","","",""
"24 СМИ","24smi.info","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4830000","7000000","","",""
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","4759349","6613050","00:08:17","0.0","442441"
"«7 дней» — развлекательный портал","7days.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","4750000","6680000","","",""
"Экспресс газета - сетевое издание | EG.RU","eg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","Комсомольская правда Digital","да","4602285","6260600","00:03:28","0.0","267987"
"Wi-fi.ru — информационно-развлекательный портал","wi-fi.ru","Новости и СМИ","Новости","Максима Телеком","да","4416498","8746700","01:18:33","0.0","788606"
"«Гарант» — информационно-правовой портал","garant.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4410000","6370000","","",""
"MSN Россия | Новости, фото, погода, Skype и Outlook","msn.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","да","4349232","7550700","00:55:40","0.0","624023"
"«НГС.Новосибирск» — городской портал","ngs.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","HSM","да","4308421","6746050","00:26:17","0.0","343053"
"Пронедра: новости России и мира сегодня. Нефть и газ...","pronedra.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","","","4160000","5610000","","",""
"Телеканал Царьград последние новости онлайн","tsargrad.tv","Новости и СМИ->Телевидение, Новости и СМИ","Новости","","","3780000","5150000","","",""
"«Medialeaks» — развлекательный медиапроект","medialeaks.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","","","3750000","5240000","","",""
